Liczba statków po wp³yniêciu do kana³u;Œredni czas oczekiwania na wp³yniêcie
1230;107.391
1231;107.304
1232;107.217
1233;107.13
1234;107.051
1235;106.965
1236;106.878
1237;106.792
1238;106.706
1239;106.619
1240;106.603
1241;106.517
1242;106.494
1243;106.411
1244;106.366
1245;106.28
1246;106.195
1247;106.127
1248;106.092
1249;106.024
1250;105.961
1251;105.932
1252;105.882
1253;105.808
1254;105.734
1255;105.66
1256;105.619
1257;105.543
1258;105.543
1259;105.544
1260;105.471
1261;105.433
1262;105.406
1263;105.334
1264;105.252
1265;105.248
1266;105.165
1267;105.082
1268;105.052
1269;104.991
1270;104.908
1271;104.84
1272;104.758
1273;104.762
1274;104.688
1275;104.608
1276;104.61
1277;104.556
1278;104.502
1279;104.457
1280;104.398
1281;104.336
1282;104.275
1283;104.194
1284;104.112
1285;104.031
1286;103.95
1287;103.87
1288;103.827
1289;103.81
1290;103.73
1291;103.65
1292;103.569
1293;103.567
1294;103.535
1295;103.456
1296;103.379
1297;103.366
1298;103.289
1299;103.209
1300;103.13
1301;103.147
1302;103.068
1303;102.989
1304;102.91
1305;102.831
1306;102.752
1307;102.673
1308;102.621
1309;102.571
1310;102.533
1311;102.455
1312;102.377
1313;102.299
1314;102.221
1315;102.163
1316;102.085
1317;102.039
1318;102.013
1319;102.012
1320;101.94
1321;101.899
1322;101.895
1323;101.913
1324;101.836
1325;101.759
1326;101.683
1327;101.606
1328;101.532
1329;101.456
1330;101.379
1331;101.316
1332;101.24
1333;101.223
1334;101.147
1335;101.071
1336;101.093
1337;101.017
1338;101.004
1339;100.933
1340;100.961
1341;100.97
1342;100.905
1343;100.836
1344;100.766
1345;100.698
1346;100.754
1347;100.679
1348;100.61
1349;100.587
1350;100.514
1351;100.44
1352;100.365
1353;100.291
1354;100.217
1355;100.143
1356;100.21
1357;100.232
1358;100.163
1359;100.153
1360;100.085
1361;100.017
1362;99.9438
1363;99.8705
1364;99.8378
1365;99.8027
1366;99.7296
1367;99.6567
1368;99.5838
1369;99.5111
1370;99.4385
1371;99.3659
1372;99.2935
1373;99.2227
1374;99.154
1375;99.1382
1376;99.0903
1377;99.0227
1378;98.9508
1379;98.9299
1380;98.8582
1381;98.8327
1382;98.7713
1383;98.7597
1384;98.7176
1385;98.6705
1386;98.6473
1387;98.5891
1388;98.5372
1389;98.468
1390;98.398
1391;98.3293
1392;98.2868
1393;98.2162
1394;98.1458
1395;98.0754
1396;98.0057
1397;97.9395
1398;97.9582
1399;97.8882
1400;97.9118
1401;97.9026
1402;97.8724
1403;97.8126
1404;97.7504
1405;97.7349
1406;97.6788
1407;97.625
1408;97.5579
1409;97.4893
1410;97.4212
1411;97.3521
1412;97.2832
1413;97.2143
1414;97.1456
1415;97.0769
1416;97.0084
1417;96.9588
1418;96.8916
1419;96.8458
1420;96.7858
1421;96.7186
1422;96.6595
1423;96.606
1424;96.5381
1425;96.4704
1426;96.4059
1427;96.4669
1428;96.4022
1429;96.3348
1430;96.3529
1431;96.3195
1432;96.2572
1433;96.2431
1434;96.2119
1435;96.1537
1436;96.0935
1437;96.0369
1438;96.0527
1439;96.0627
1440;96.0352
1441;96.0097
1442;95.9486
1443;95.9877
1444;95.9212
1445;95.9233
1446;95.8624
1447;95.7961
1448;95.7307
1449;95.6673
1450;95.6023
1451;95.6667
1452;95.6135
1453;95.5682
1454;95.5207
1455;95.5233
1456;95.6071
1457;95.5574
1458;95.6644
1459;95.6077
1460;95.5514
1461;95.487
1462;95.4233
1463;95.3582
1464;95.2931
1465;95.2518
1466;95.187
1467;95.2995
1468;95.4244
1469;95.3867
1470;95.38
1471;95.3497
1472;95.3123
1473;95.3045
1474;95.2684
1475;95.2525
1476;95.3947
1477;95.3301
1478;95.3197
1479;95.2553
1480;95.4289
1481;95.3672
1482;95.352
1483;95.3787
1484;95.3604
1485;95.337
1486;95.5325
1487;95.7074
1488;95.9116
1489;95.8472
1490;95.8406
1491;95.7824
1492;95.7873
1493;95.872
1494;95.88
1495;95.968
1496;96.1331
1497;96.142
1498;96.0778
1499;96.0365
1500;95.9724
1501;95.9085
1502;95.8712
1503;95.9802
1504;95.9341
1505;95.879
1506;95.8176
1507;95.7632
1508;95.7003
1509;95.6369
1510;95.5817
1511;95.5184
1512;95.6762
1513;95.628
1514;95.7148
1515;95.6516
1516;95.5885
1517;95.5381
1518;95.4832
1519;95.6002
1520;95.7019
1521;95.639
1522;95.6636
1523;95.6031
1524;95.543
1525;95.4804
1526;95.4178
1527;95.453
1528;95.3905
1529;95.3399
1530;95.371
1531;95.3087
1532;95.2502
1533;95.1912
1534;95.2312
1535;95.1694
1536;95.1823
1537;95.2014
1538;95.2701
1539;95.2952
1540;95.3098
1541;95.3159
1542;95.3371
1543;95.2931
1544;95.2332
1545;95.1716
1546;95.1284
1547;95.067
1548;95.0055
1549;95.0452
1550;95.0108
1551;94.9918
1552;94.9422
1553;94.8996
1554;94.8399
1555;94.7793
1556;94.7754
1557;94.7192
1558;94.8087
1559;94.7479
1560;94.7107
1561;94.65
1562;94.7537
1563;94.6942
1564;94.7871
1565;94.7265
1566;94.666
1567;94.6056
1568;94.5697
1569;94.5793
1570;94.5191
1571;94.4641
1572;94.4124
1573;94.3558
1574;94.3048
1575;94.4601
1576;94.4221
1577;94.5359
1578;94.4888
1579;94.4454
1580;94.389
1581;94.5002
1582;94.4595
1583;94.5808
1584;94.5516
1585;94.4965
1586;94.437
1587;94.3774
1588;94.318
1589;94.2587
1590;94.388
1591;94.3504
1592;94.2912
1593;94.2446
1594;94.1874
1595;94.1284
1596;94.0694
1597;94.0105
1598;94.1878
1599;94.3523
1600;94.2934
1601;94.4338
1602;94.3749
1603;94.323
1604;94.2642
1605;94.2054
1606;94.1468
1607;94.0882
1608;94.0304
1609;93.9756
1610;93.9242
1611;94.1348
1612;94.0854
1613;94.0331
1614;93.9749
1615;93.9167
1616;93.8586
1617;93.8005
1618;93.7425
1619;93.9894
1620;93.9313
1621;93.8742
1622;94.1277
1623;94.0697
1624;94.3266
1625;94.2784
1626;94.5206
1627;94.7521
1628;94.6964
1629;94.6422
1630;94.5841
1631;94.5261
1632;94.4682
1633;94.4104
1634;94.3526
1635;94.2949
1636;94.2372
1637;94.5163
1638;94.4586
1639;94.401
1640;94.3434
1641;94.286
1642;94.2285
1643;94.5553
1644;94.4978
1645;94.8271
1646;94.7695
1647;94.712
1648;94.6566
1649;94.6023
1650;94.9385
1651;94.881
1652;94.8235
1653;94.7662
1654;94.728
1655;94.6785
1656;94.6326
1657;94.585
1658;94.5279
1659;94.921
1660;95.2019
1661;95.1478
1662;95.0989
1663;95.3518
1664;95.2995
1665;95.2478
1666;95.1976
1667;95.1405
1668;95.1218
1669;95.0648
1670;95.0079
1671;95.2773
1672;95.2203
1673;95.2223
1674;95.1788
1675;95.1896
1676;95.1554
1677;95.121
1678;95.0831
1679;95.0407
1680;95.3487
1681;95.3563
1682;95.3031
1683;95.6114
1684;95.5549
1685;95.563
1686;95.5164
1687;95.4598
1688;95.4032
1689;95.3982
1690;95.3418
1691;95.2854
1692;95.6079
1693;95.6158
1694;95.9204
1695;95.8638
1696;95.8166
1697;95.7608
1698;95.7201
1699;95.7336
1700;95.6915
1701;95.6446
1702;95.6057
1703;95.5525
1704;95.4972
1705;95.7524
1706;96.0189
1707;95.9627
1708;95.9065
1709;95.8916
1710;95.8934
1711;95.8374
1712;95.7814
1713;95.7695
1714;95.7136
1715;95.987
1716;95.9374
1717;95.9107
1718;95.8646
1719;95.8195
1720;95.7754
1721;95.958
1722;95.9563
1723;96.1264
1724;96.076
1725;96.0203
1726;95.9647
1727;96.121
1728;96.2676
1729;96.2183
1730;96.1627
1731;96.1071
1732;96.161
1733;96.1056
1734;96.2565
1735;96.2691
1736;96.2137
1737;96.2135
1738;96.2395
1739;96.1911
1740;96.1872
1741;96.1418
1742;96.0882
1743;96.0338
1744;95.9797
1745;96.0165
1746;95.9617
1747;95.9067
1748;96.0833
1749;96.2736
1750;96.2386
1751;96.4337
1752;96.5889
1753;96.6176
1754;96.6066
1755;96.5712
1756;96.7291
1757;96.6818
1758;96.6372
1759;96.616
1760;96.5637
1761;96.5089
1762;96.4837
1763;96.4348
1764;96.3841
1765;96.3351
1766;96.511
1767;96.6782
1768;96.6356
1769;96.7967
1770;96.7459
1771;96.8102
1772;96.7565
1773;96.7119
1774;96.6574
1775;96.6029
1776;96.5507
1777;96.4999
1778;96.4464
1779;96.3922
1780;96.4795
1781;96.4373
1782;96.3957
1783;96.3464
1784;96.2959
1785;96.2899
1786;96.2383
1787;96.1845
1788;96.1641
1789;96.1103
1790;96.0573
1791;96.0037
1792;95.9501
1793;95.9329
1794;95.8845
1795;95.8313
1796;95.778
1797;95.7247
1798;95.6714
1799;95.6263
1800;95.5749
1801;95.5542
1802;95.5079
1803;95.46
1804;95.4096
1805;95.357
1806;95.3062
1807;95.3103
1808;95.3283
1809;95.2993
1810;95.247
1811;95.1972
1812;95.1468
1813;95.0984
1814;95.0528
1815;95.003
1816;94.9919
1817;94.9396
1818;94.9342
1819;94.882
1820;94.8358
1821;94.7843
1822;94.7331
1823;94.748
1824;94.7189
1825;94.751
1826;94.6992
1827;94.7561
1828;94.7302
1829;94.6811
1830;94.6326
1831;94.698
1832;94.6641
1833;94.6162
1834;94.5717
1835;94.5314
1836;94.5088
1837;94.4574
1838;94.406
1839;94.3881
1840;94.3379
1841;94.2875
1842;94.2367
1843;94.1868
1844;94.1396
1845;94.091
1846;94.0429
1847;94.0011
1848;93.9502
1849;93.8998
1850;93.8812
1851;93.8542
1852;93.8115
1853;93.7647
1854;93.7262
1855;93.6757
1856;93.6252
1857;93.5763
1858;93.5275
1859;93.4787
1860;93.4303
1861;93.3837
1862;93.3358
1863;93.3263
1864;93.2812
1865;93.2368
1866;93.1925
1867;93.1449
1868;93.0972
1869;93.0475
1870;92.9978
1871;92.948
1872;92.8984
1873;92.8493
1874;92.7998
1875;92.7554
1876;92.751
1877;92.7438
1878;92.7048
1879;92.6599
1880;92.6136
1881;92.5665
1882;92.5173
1883;92.4682
1884;92.4221
1885;92.373
1886;92.3241
1887;92.2751
1888;92.253
1889;92.2042
1890;92.1558
1891;92.112
1892;92.1057
1893;92.0608
1894;92.0145
1895;91.9706
1896;91.9314
1897;91.8874
1898;91.9059
1899;91.8804
1900;91.8508
1901;91.8648
1902;91.8327
1903;91.7932
1904;91.7806
1905;91.7384
1906;91.7446
1907;91.7426
1908;91.6961
1909;91.6772
1910;91.6292
1911;91.5812
1912;91.5333
1913;91.5313
1914;91.547
1915;91.5928
1916;91.5667
1917;91.5216
1918;91.5578
1919;91.5101
1920;91.4624
1921;91.4148
1922;91.3672
1923;91.3197
1924;91.2722
1925;91.2248
1926;91.1839
1927;91.1492
1928;91.1061
1929;91.0615
1930;91.0143
1931;90.9672
1932;90.9331
1933;90.8861
1934;90.8623
1935;90.8178
1936;90.7925
1937;90.7521
1938;90.735
1939;90.6941
1940;90.6749
1941;90.6398
1942;90.599
1943;90.5524
1944;90.5058
1945;90.4869
1946;90.445
1947;90.4029
1948;90.3576
1949;90.3112
1950;90.2652
1951;90.2358
1952;90.1896
1953;90.1953
1954;90.1655
1955;90.1198
1956;90.0737
1957;90.0277
1958;89.9817
1959;90.0082
1960;89.9623
1961;89.9165
1962;89.8706
1963;89.8248
1964;89.7791
1965;89.7334
1966;89.6915
1967;89.6459
1968;89.6004
1969;89.5549
1970;89.5094
1971;89.4724
1972;89.427
1973;89.3884
1974;89.3443
1975;89.2991
1976;89.2619
1977;89.2242
1978;89.1804
1979;89.1381
1980;89.093
1981;89.0481
1982;89.0031
1983;88.9583
1984;88.9134
1985;88.8686
1986;88.8239
1987;88.7792
1988;88.7345
1989;88.6989
1990;88.6547
1991;88.6143
1992;88.5698
1993;88.5293
1994;88.4849
1995;88.4405
1996;88.3962
1997;88.352
1998;88.3077
1999;88.2636
2000;88.2194
2001;88.1791
